code,name
002236,大华股份
002024,ST易购
002450,康得退
300228,富瑞特装
300070,碧水源
300205,天喻信息
002241,歌尔股份
002353,杰瑞股份
002653,海思科
300090,盛运退
600705,中航产融
600893,中航动力
600795,国电电力
002230,科大讯飞
600118,中国卫星
600259,广晟有色
600111,北方稀土
000831,中国稀土
000882,华联股份
600066,宇通客车
300157,恒泰艾普
300273,*ST和佳
002410,广联达
300147,香雪制药
300212,易华录
300253,卫宁健康
002462,嘉事堂
002271,东方雨虹
300266,兴源环境
002038,双鹭药业
002341,新纶新材
002437,誉衡药业
300303,聚飞光电
300049,福瑞股份
300238,冠昊生物
002020,京新药业
002675,东诚药业
600594,益佰制药
600887,伊利股份
000963,华东医药
000400,许继电气
600079,人福医药
600557,康缘药业
000333,美的集团
600872,中炬高新
002184,海得控制
300334,津膜科技
000753,漳州发展
002098,浔兴股份
002480,新筑股份
300172,中电环保
300262,巴安水务
300248,新开普
000529,广弘控股
300226,上海钢联
300058,蓝色光标
002400,省广集团
002456,欧菲光
300017,网宿科技
000049,德赛电池
300115,长盈精密
300202,聚龙退
600660,福耀玻璃
600742,一汽富维
600667,太极实业
002157,*ST正邦
002470,ST金正
002299,圣农发展
300200,高盟新材
002152,广电运通
601311,骆驼股份
000729,燕京啤酒
000651,格力电器
002250,联化科技
601877,正泰电器
600309,万华化学
600016,民生银行
601186,中国铁建
600376,首开股份
000728,国元证券
600048,保利发展
600639,浦东金桥
601601,中国太保
000002,万科A
000069,华侨城A
600340,华夏幸福
300168,万达信息
600804,ST鹏博士
600797,浙大网新
600654,*ST中安
300366,创意信息
300111,向日葵
002421,达实智能
300380,安硕信息
000503,国新健康
002279,久其软件
000538,云南白药
002223,鱼跃医疗
002252,上海莱士
002416,爱施德
000917,电广传媒
601888,中国中免
600276,恒瑞医药
601318,中国平安
600036,招商银行
600000,浦发银行
600886,国投电力
601668,中国建筑
002415,海康威视
600038,中直股份
601166,兴业银行
000786,北新建材
300203,聚光科技
002080,中材科技
300323,华灿光电
002203,海亮股份
300197,节能铁汉
002310,东方园林
600416,湘电股份
002630,华西能源
601985,中国核电
300463,迈克生物
300436,广生堂
300440,运达科技
603116,红蜻蜓
603789,星光农机
603979,金诚信
300450,先导智能
603355,莱克电气
603669,灵康药业
603808,歌力思
300465,高伟达
600637,东方明珠
600104,上汽集团
002292,奥飞娱乐
000100,TCL科技
000625,长安汽车
600690,海尔智家
600763,通策医疗
300142,沃森生物
000650,仁和药业
000566,海南海药
600196,复星医药
600201,生物股份
600535,天士力
002219,新里程
600879,航天电子
603008,喜临门
300084,海默科技
002309,ST中利
601368,绿城水务
000669,ST金鸿
603885,吉祥航空
300476,胜宏科技
300477,合纵科技
600900,长江电力
601818,光大银行
601328,交通银行
600837,海通证券
601398,工商银行
601939,建设银行
601015,陕西黑猫
000830,鲁西化工
601233,桐昆股份
002643,万润股份
601689,拓普集团
300065,海兰信
600730,中国高科
603989,艾华集团
600630,龙头股份
002097,山河智能
002657,中科金财
002424,贵州百灵
300001,特锐德
002488,金固股份
002554,惠博普
002161,远望谷
002678,珠江钢琴
000833,粤桂股份
300352,北信源
002006,精工科技
002698,博实股份
000890,法尔胜
002542,中化岩土
002242,九阳股份
002787,华源控股
000895,双汇发展
600519,贵州茅台
600377,宁沪高速
000858,五粮液
600004,白云机场
603288,海天味业
600029,南方航空
600303,ST曙光
601021,春秋航空
300367,网力退
002672,东江环保
002466,天齐锂业
600867,通化东宝
600115,中国东航
300383,光环新网
600745,中茵股份
300498,温氏股份
601857,中国石油
002572,索菲亚
002714,牧原股份
000596,古井贡酒
002304,洋河股份
000001,平安银行
002567,唐人神
600547,山东黄金
600060,海信视像
601288,农业银行
600332,白云山
300033,同花顺
002169,智光电气
600155,华创阳安
002584,西陇科学
002127,南极电商
300359,全通教育
